"ATTACK ?
DEFENSE ?",PKMN,NOR,FIR,WAT,ELE,GRA,ICE,FIG,POI,GRO,FLY,PSY,BUG,ROC,GHO,DRA,DAR,STE,FAI
WATERDRAGON,2,,0.25,0.25,,,,,,,,,,,,2,,0.5,2
WATERDARK,7,,0.5,0.5,2,2,0.5,2,,,,0,2,,0.5,,0.5,0.5,2
WATERSTEEL,1,0.5,,0.5,2,,0.25,2,0,2,0.5,0.5,0.5,0.5,,0.5,,0.25,0.5
WATERFAIRY,4,,0.5,0.5,2,2,0.5,0.5,2,,,,0.5,,,0,0.5,,
ELECTRIC,29,,,,0.5,,,,,2,0.5,,,,,,,0.5,
ELECTRICNORMAL,2,,,,0.5,,,2,,2,0.5,,,,0,,,0.5,
ELECTRICFIRE,1,,0.5,2,0.5,0.5,0.5,,,4,0.5,,0.5,2,,,,0.25,0.5
ELECTRICWATER,3,,0.5,0.5,,2,0.5,,,2,0.5,,,,,,,0.25,
ELECTRICGRASS,1,,2,0.5,0.25,0.5,2,,2,,,,2,,,,,0.5,
ELECTRICICE,1,,2,,0.5,,0.5,2,,2,0.5,,,2,,,,,
ELECTRICFIGHTING,0,,,,0.5,,,,,2,,2,0.5,0.5,,,0.5,0.5,2
ELECTRICPOISON,0,,,,0.5,0.5,,0.5,0.5,4,0.5,2,0.5,,,,,0.5,0.5
ELECTRICGROUND,1,,,2,0,2,2,,0.5,2,0.5,,,0.5,,,,0.5,
ELECTRICFLYING,6,,,,,0.5,2,0.5,,0,0.5,,0.5,2,,,,0.5,
ELECTRICPSYCHIC,1,,,,0.5,,,0.5,,2,0.5,0.5,2,,2,,2,0.5,
ELECTRICBUG,4,,2,,0.5,0.5,,0.5,,,,,,2,,,,0.5,
ELECTRICROCK,3,0.5,0.5,2,0.5,2,,2,0.5,4,0.25,,,,,,,,
ELECTRICGHOST,1,0,,,0.5,,,0,0.5,2,0.5,,0.5,,2,,2,0.5,
ELECTRICDRAGON,2,,0.5,0.5,0.25,0.5,2,,,2,0.5,,,,,2,,0.5,2
ELECTRICDARK,0,,,,0.5,,,2,,2,0.5,0,2,,0.5,,0.5,0.5,2
ELECTRICSTEEL,4,0.5,2,,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,,0.5,,0.25,0.5
ELECTRICFAIRY,2,,,,0.5,,,0.5,2,2,0.5,,0.5,,,0,0.5,,
GRASS,38,,2,0.5,0.5,0.5,2,,2,0.5,2,,2,,,,,,
GRASSNORMAL,2,,2,0.5,0.5,0.5,2,2,2,0.5,2,,2,,0,,,,
GRASSFIRE,0,,,,0.5,0.25,,,2,,2,,,2,,,,0.5,0.5
GRASSWATER,3,,,0.25,,,,,2,0.5,2,,2,,,,,0.5,
GRASSELECTRIC,1,,2,0.5,0.25,0.5,2,,2,,,,2,,,,,0.5,
GRASSICE,3,,4,0.5,0.5,0.5,,2,2,0.5,2,,2,2,,,,2,
GRASSFIGHTING,3,,2,0.5,0.5,0.5,2,,2,0.5,4,2,,0.5,,,0.5,,2
GRASSPOISON,15,,2,0.5,0.5,0.25,2,0.5,,,2,2,,,,,,,0.5
GRASSGROUND,1,,2,,0,,4,,,0.5,2,,2,0.5,,,,,
GRASSFLYING,7,,2,0.5,,0.25,4,0.5,2,0,2,,,2,,,,,
GRASSPSYCHIC,3,,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,,2,,2,,
GRASSBUG,6,,4,0.5,0.5,0.25,2,0.5,2,0.25,4,,2,2,,,,,
GRASSROCK,2,0.5,,,0.5,,2,2,,,,,2,,,,,2,
GRASSGHOST,12,0,2,0.5,0.5,0.5,2,0,,0.5,2,,,,2,,2,,
GRASSDRAGON,2,,,0.25,0.25,0.25,4,,2,0.5,2,,2,,,2,,,2
GRASSDARK,3,,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,,0.5,,0.5,,2
GRASSSTEEL,3,0.5,4,0.5,0.5,0.25,,2,0,,,0.5,,0.5,,0.5,,0.5,0.5
GRASSFAIRY,5,,2,0.5,0.5,0.5,2,0.5,4,0.5,2,,,,,0,0.5,2,
ICE,15,,2,,,,0.5,2,,,,,,2,,,,2,
ICENORMAL,0,,2,,,,0.5,4,,,,,,2,0,,,2,
ICEFIRE,0,,,2,,0.5,0.25,2,,2,,,0.5,4,,,,,0.5
ICEWATER,6,,,0.5,2,2,0.25,2,,,,,,2,,,,,
ICEELECTRIC,1,,2,,0.5,,0.5,2,,2,0.5,,,2,,,,,
ICEGRASS,3,,4,0.5,0.5,0.5,,2,2,0.5,2,,2,2,,,,2,
ICEFIGHTING,1,,2,,,,0.5,2,,,2,2,0.5,,,,0.5,2,2
ICEPOISON,0,,2,,,0.5,0.5,,0.5,2,,2,0.5,2,,,,2,0.5
ICEGROUND,3,,2,2,0,2,,2,0.5,,,,,,,,,2,
ICEFLYING,2,,2,,2,0.5,,,,0,,,0.5,4,,,,2,
ICEPSYCHIC,2,,2,,,,0.5,,,,,0.5,2,2,2,,2,2,
ICEBUG,0,,4,,,0.5,0.5,,,0.5,2,,,4,,,,2,
ICEROCK,2,0.5,,2,,2,0.5,4,0.5,2,0.5,,,2,,,,4,
ICEGHOST,1,0,2,,,,0.5,0,0.5,,,,0.5,2,2,,2,2,
ICEDRAGON,3,,,0.5,0.5,0.5,,2,,,,,,2,,2,,2,2
ICEDARK,2,,2,,,,0.5,4,,,,0,2,2,0.5,,0.5,2,2
ICESTEEL,2,0.5,4,,,0.5,0.25,4,0,2,0.5,0.5,0.5,,,0.5,,,0.5
ICEFAIRY,1,,2,,,,0.5,,2,,,,0.5,2,,0,0.5,4,
FIGHTING,22,,,,,,,,,,2,2,0.5,0.5,,,0.5,,2
FIGHTINGNORMAL,4,,,,,,,2,,,2,2,0.5,0.5,0,,0.5,,2
FIGHTINGFIRE,7,,0.5,2,,0.5,0.5,,,2,2,2,0.25,,,,0.5,0.5,
FIGHTINGWATER,3,,0.5,0.5,2,2,0.5,,,,2,2,0.5,0.5,,,0.5,0.5,2
FIGHTINGELECTRIC,0,,,,0.5,,,,,2,,2,0.5,0.5,,,0.5,0.5,2
FIGHTINGGRASS,3,,2,0.5,0.5,0.5,2,,2,0.5,4,2,,0.5,,,0.5,,2
FIGHTINGICE,1,,2,,,,0.5,2,,,2,2,0.5,,,,0.5,2,2
FIGHTINGPOISON,2,,,,,0.5,,0.5,0.5,2,2,4,0.25,0.5,,,0.5,,
FIGHTINGGROUND,0,,,2,0,2,2,,0.5,,2,2,0.5,0.25,,,0.5,,2
FIGHTINGFLYING,1,,,,2,0.5,2,0.5,,0,2,2,0.25,,,,0.5,,2
FIGHTINGPSYCHIC,6,,,,,,,0.5,,,2,,,0.5,2,,,,2
FIGHTINGBUG,4,,2,,,0.5,,0.5,,0.5,4,2,0.5,,,,0.5,,2
FIGHTINGROCK,1,0.5,0.5,2,,2,,2,0.5,2,,2,0.5,0.5,,,0.5,2,2
FIGHTINGGHOST,1,0,,,,,,0,0.5,,2,2,0.25,0.5,2,,,,2
FIGHTINGDRAGON,2,,0.5,0.5,0.5,0.5,2,,,,2,2,0.5,0.5,,2,0.5,,4
FIGHTINGDARK,3,,,,,,,2,,,2,0,,0.5,0.5,,0.25,,4
FIGHTINGSTEEL,3,0.5,2,,,0.5,0.5,2,0,2,,,0.25,0.25,,0.5,0.5,0.5,
FIGHTINGFAIRY,0,,,,,,,0.5,2,,2,2,0.25,0.5,,0,0.25,2,2
POISON,16,,,,,0.5,,0.5,0.5,2,,2,0.5,,,,,,0.5
POISONNORMAL,0,,,,,0.5,,,0.5,2,,2,0.5,,0,,,,0.5
POISONFIRE,2,,0.5,2,,0.25,0.5,0.5,0.5,4,,2,0.25,2,,,,0.5,0.25
POISONWATER,6,,0.5,0.5,2,,0.5,0.5,0.5,2,,2,0.5,,,,,0.5,0.5
POISONELECTRIC,0,,,,0.5,0.5,,0.5,0.5,4,0.5,2,0.5,,,,,0.5,0.5
POISONGRASS,15,,2,0.5,0.5,0.25,2,0.5,,,2,2,,,,,,,0.5
POISONICE,0,,2,,,0.5,0.5,,0.5,2,,2,0.5,2,,,,2,0.5
POISONFIGHTING,2,,,,,0.5,,0.5,0.5,2,2,4,0.25,0.5,,,0.5,,
POISONGROUND,2,,,2,0,,2,0.5,0.25,2,,2,0.5,0.5,,,,,0.5
POISONFLYING,3,,,,2,0.25,2,0.25,0.5,0,,2,0.25,2,,,,,0.5
POISONPSYCHIC,0,,,,,0.5,,0.25,0.5,2,,,,,2,,2,,0.5
POISONBUG,13,,2,,,0.25,,0.25,0.5,,2,2,0.5,2,,,,,0.5
POISONROCK,1,0.5,0.5,2,,,,,0.25,4,0.5,2,0.5,,,,,2,0.5
POISONGHOST,4,0,,,,0.5,,0,0.25,2,,2,0.25,,2,,2,,0.5
POISONDRAGON,2,,0.5,0.5,0.5,0.25,2,0.5,0.5,2,,2,0.5,,,2,,,
POISONDARK,5,,,,,0.5,,,0.5,2,,0,,,0.5,,0.5,,
POISONSTEEL,0,0.5,2,,,0.25,0.5,,0,4,0.5,,0.25,0.5,,0.5,,0.5,0.25
POISONFAIRY,0,,,,,0.5,,0.25,,2,,2,0.25,,,0,0.5,2,0.5
GROUND,15,,,2,0,2,2,,0.5,,,,,0.5,,,,,
GROUNDNORMAL,1,,,2,0,2,2,2,0.5,,,,,0.5,0,,,,
GROUNDFIRE,4,,0.5,4,0,,,,0.5,2,,,0.5,,,,,0.5,0.5
GROUNDWATER,10,,0.5,,0,4,,,0.5,,,,,0.5,,,,0.5,
GROUNDELECTRIC,1,,,2,0,2,2,,0.5,2,0.5,,,0.5,,,,0.5,
GROUNDGRASS,1,,2,,0,,4,,,0.5,2,,2,0.5,,,,,
GROUNDICE,3,,2,2,0,2,,2,0.5,,,,,,,,,2,
GROUNDFIGHTING,0,,,2,0,2,2,,0.5,,2,2,0.5,0.25,,,0.5,,2
GROUNDPOISON,2,,,2,0,,2,0.5,0.25,2,,2,0.5,0.5,,,,,0.5
GROUNDFLYING,4,,,2,0,,4,0.5,0.5,0,,,0.5,,,,,,
GROUNDPSYCHIC,2,,,2,0,2,2,0.5,0.5,,,0.5,2,0.5,2,,2,,
GROUNDBUG,2,,2,2,0,,2,0.5,0.5,0.5,2,,,,,,,,
GROUNDROCK,9,0.5,0.5,4,0,4,2,2,0.25,2,0.5,,,0.5,,,,2,
GROUNDGHOST,4,0,,2,0,2,2,0,0.25,,,,0.5,0.5,2,,2,,
GROUNDDRAGON,9,,0.5,,0,,4,,0.5,,,,,0.5,,2,,,2
GROUNDDARK,3,,,2,0,2,2,2,0.5,,,0,2,0.5,0.5,,0.5,,2
GROUNDSTEEL,5,0.5,2,2,0,,,2,0,2,0.5,0.5,0.5,0.25,,0.5,,0.5,0.5
GROUNDFAIRY,0,,,2,0,2,2,0.5,,,,,0.5,0.5,,0,0.5,2,
FLYING,2,,,,2,0.5,2,0.5,,0,,,0.5,2,,,,,
FLYINGNORMAL,27,,,,2,0.5,2,,,0,,,0.5,2,0,,,,
FLYINGFIRE,7,,0.5,2,2,0.25,,0.5,,0,,,0.25,4,,,,0.5,0.5
FLYINGWATER,7,,0.5,0.5,4,,,0.5,,0,,,0.5,2,,,,0.5,
FLYINGELECTRIC,6,,,,,0.5,2,0.5,,0,0.5,,0.5,2,,,,0.5,
FLYINGGRASS,7,,2,0.5,,0.25,4,0.5,2,0,2,,,2,,,,,
FLYINGICE,2,,2,,2,0.5,,,,0,,,0.5,4,,,,2,
FLYINGFIGHTING,1,,,,2,0.5,2,0.5,,0,2,2,0.25,,,,0.5,,2
FLYINGPOISON,3,,,,2,0.25,2,0.25,0.5,0,,2,0.25,2,,,,,0.5
FLYINGGROUND,4,,,2,0,,4,0.5,0.5,0,,,0.5,,,,,,
FLYINGPSYCHIC,7,,,,2,0.5,2,0.25,,0,,0.5,,2,2,,2,,
FLYINGBUG,14,,2,,2,0.25,2,0.25,,0,2,,0.5,4,,,,,
FLYINGROCK,6,0.5,0.5,2,2,,2,,0.5,0,0.5,,0.5,2,,,,2,
FLYINGGHOST,3,0,,,2,0.5,2,0,0.5,0,,,0.25,2,2,,2,,
FLYINGDRAGON,8,,0.5,0.5,,0.25,4,0.5,,0,,,0.5,2,,2,,,2
FLYINGDARK,5,,,,2,0.5,2,,,0,,0,,2,0.5,,0.5,,2
FLYINGSTEEL,2,0.5,2,,2,0.25,,,0,0,0.5,0.5,0.25,,,0.5,,0.5,0.5
FLYINGFAIRY,2,,,,2,0.5,2,0.25,2,0,,,0.25,2,,0,0.5,2,
PSYCHIC,41,,,,,,,0.5,,,,0.5,2,,2,,2,,
PSYCHICNORMAL,3,,,,,,,,,,,0.5,2,,0,,2,,
PSYCHICFIRE,3,,0.5,2,,0.5,0.5,0.5,,2,,0.5,,2,2,,2,0.5,0.5
PSYCHICWATER,6,,0.5,0.5,2,2,0.5,0.5,,,,0.5,2,,2,,2,0.5,
PSYCHICELECTRIC,1,,,,0.5,,,0.5,,2,0.5,0.5,2,,2,,2,0.5,
PSYCHICGRASS,3,,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,,2,,2,,
PSYCHICICE,2,,2,,,,0.5,,,,,0.5,2,2,2,,2,2,
PSYCHICFIGHTING,6,,,,,,,0.5,,,2,,,0.5,2,,,,2
PSYCHICPOISON,0,,,,,0.5,,0.25,0.5,2,,,,,2,,2,,0.5
PSYCHICGROUND,2,,,2,0,2,2,0.5,0.5,,,0.5,2,0.5,2,,2,,
PSYCHICFLYING,7,,,,2,0.5,2,0.25,,0,,0.5,,2,2,,2,,
PSYCHICBUG,0,,2,,,0.5,,0.25,,0.5,2,0.5,2,2,2,,2,,
PSYCHICROCK,2,0.5,0.5,2,,2,,,0.5,2,0.5,0.5,2,,2,,2,2,
PSYCHICGHOST,3,0,,,,,,0,0.5,,,0.5,,,4,,4,,
PSYCHICDRAGON,5,,0.5,0.5,0.5,0.5,2,0.5,,,,0.5,2,,2,2,2,,2
PSYCHICDARK,3,,,,,,,,,,,0,4,,,,,,2
PSYCHICSTEEL,9,0.5,2,,,0.5,0.5,,0,2,0.5,0.25,,0.5,2,0.5,2,0.5,0.5
PSYCHICFAIRY,7,,,,,,,0.25,2,,,0.5,,,2,0,,2,
BUG,18,,2,,,0.5,,0.5,,0.5,2,,,2,,,,,
BUGNORMAL,0,,2,,,0.5,,,,0.5,2,,,2,0,,,,
BUGFIRE,2,,,2,,0.25,0.5,0.5,,,2,,0.5,4,,,,0.5,0.5
BUGWATER,5,,,0.5,2,,0.5,0.5,,0.5,2,,,2,,,,0.5,
BUGELECTRIC,4,,2,,0.5,0.5,,0.5,,,,,,2,,,,0.5,
BUGGRASS,6,,4,0.5,0.5,0.25,2,0.5,2,0.25,4,,2,2,,,,,
BUGICE,0,,4,,,0.5,0.5,,,0.5,2,,,4,,,,2,
BUGFIGHTING,4,,2,,,0.5,,0.5,,0.5,4,2,0.5,,,,0.5,,2
BUGPOISON,13,,2,,,0.25,,0.25,0.5,,2,2,0.5,2,,,,,0.5
BUGGROUND,2,,2,2,0,,2,0.5,0.5,0.5,2,,,,,,,,
BUGFLYING,14,,2,,2,0.25,2,0.25,,0,2,,0.5,4,,,,,
BUGPSYCHIC,0,,2,,,0.5,,0.25,,0.5,2,0.5,2,2,2,,2,,
BUGROCK,5,0.5,,2,,,,,0.5,,,,,2,,,,2,
BUGGHOST,1,0,2,,,0.5,,0,0.5,0.5,2,,0.5,2,2,,2,,
BUGDRAGON,0,,,0.5,0.5,0.25,2,0.5,,0.5,2,,,2,,2,,,2
BUGDARK,0,,2,,,0.5,,,,0.5,2,0,2,2,0.5,,0.5,,2
BUGSTEEL,7,0.5,4,,,0.25,0.5,,0,,,0.5,0.5,,,0.5,,0.5,0.5
BUGFAIRY,2,,2,,,0.5,,0.25,2,0.5,2,,0.5,2,,0,0.5,2,
ROCK,13,0.5,0.5,2,,2,,2,0.5,2,0.5,,,,,,,2,
ROCKNORMAL,0,0.5,0.5,2,,2,,4,0.5,2,0.5,,,,0,,,2,
ROCKFIRE,1,0.5,0.25,4,,,0.5,2,0.5,4,0.5,,0.5,2,,,,,0.5
ROCKWATER,10,0.5,0.25,,2,4,0.5,2,0.5,2,0.5,,,,,,,,
ROCKELECTRIC,3,0.5,0.5,2,0.5,2,,2,0.5,4,0.25,,,,,,,,
ROCKGRASS,2,0.5,,,0.5,,2,2,,,,,2,,,,,2,
ROCKICE,2,0.5,,2,,2,0.5,4,0.5,2,0.5,,,2,,,,4,
ROCKFIGHTING,1,0.5,0.5,2,,2,,2,0.5,2,,2,0.5,0.5,,,0.5,2,2
ROCKPOISON,1,0.5,0.5,2,,,,,0.25,4,0.5,2,0.5,,,,,2,0.5
ROCKGROUND,9,0.5,0.5,4,0,4,2,2,0.25,2,0.5,,,0.5,,,,2,
ROCKFLYING,6,0.5,0.5,2,2,,2,,0.5,0,0.5,,0.5,2,,,,2,
ROCKPSYCHIC,2,0.5,0.5,2,,2,,,0.5,2,0.5,0.5,2,,2,,2,2,
ROCKBUG,5,0.5,,2,,,,,0.5,,,,,2,,,,2,
ROCKGHOST,0,0,0.5,2,,2,,0,0.25,2,0.5,,0.5,,2,,2,2,
ROCKDRAGON,2,0.5,0.25,,0.5,,2,2,0.5,2,0.5,,,,,2,,2,2
ROCKDARK,2,0.5,0.5,2,,2,,4,0.5,2,0.5,0,2,,0.5,,0.5,2,2
ROCKSTEEL,7,0.25,,2,,,0.5,4,0,4,0.25,0.5,0.5,0.5,,0.5,,,0.5
ROCKFAIRY,3,0.5,0.5,2,,2,,,,2,0.5,,0.5,,,0,0.5,4,
GHOST,10,0,,,,,,0,0.5,,,,0.5,,2,,2,,
GHOSTNORMAL,0,0,,,,,,0,0.5,,,,0.5,,0,,2,,
GHOSTFIRE,5,0,0.5,2,,0.5,0.5,0,0.5,2,,,0.25,2,2,,2,0.5,0.5
GHOSTWATER,2,0,0.5,0.5,2,2,0.5,0,0.5,,,,0.5,,2,,2,0.5,
GHOSTELECTRIC,1,0,,,0.5,,,0,0.5,2,0.5,,0.5,,2,,2,0.5,
GHOSTGRASS,12,0,2,0.5,0.5,0.5,2,0,,0.5,2,,,,2,,2,,
GHOSTICE,1,0,2,,,,0.5,0,0.5,,,,0.5,2,2,,2,2,
GHOSTFIGHTING,1,0,,,,,,0,0.5,,2,2,0.25,0.5,2,,,,2
GHOSTPOISON,4,0,,,,0.5,,0,0.25,2,,2,0.25,,2,,2,,0.5
GHOSTGROUND,4,0,,2,0,2,2,0,0.25,,,,0.5,0.5,2,,2,,
GHOSTFLYING,3,0,,,2,0.5,2,0,0.5,0,,,0.25,2,2,,2,,
GHOSTPSYCHIC,3,0,,,,,,0,0.5,,,0.5,,,4,,4,,
GHOSTBUG,1,0,2,,,0.5,,0,0.5,0.5,2,,0.5,2,2,,2,,
GHOSTROCK,0,0,0.5,2,,2,,0,0.25,2,0.5,,0.5,,2,,2,2,
GHOSTDRAGON,2,0,0.5,0.5,0.5,0.5,2,0,0.5,,,,0.5,,2,2,2,,2
GHOSTDARK,3,0,,,,,,0,0.5,,,0,,,,,,,2
GHOSTSTEEL,4,0,2,,,0.5,0.5,0,0,2,0.5,0.5,0.25,0.5,2,0.5,2,0.5,0.5
GHOSTFAIRY,1,0,,,,,,0,,,,,0.25,,2,0,,2,
DRAGON,12,,0.5,0.5,0.5,0.5,2,,,,,,,,,2,,,2
DRAGONNORMAL,1,,0.5,0.5,0.5,0.5,2,2,,,,,,,0,2,,,2
DRAGONFIRE,3,,0.25,,0.5,0.25,,,,2,,,0.5,2,,2,,0.5,
DRAGONWATER,2,,0.25,0.25,,,,,,,,,,,,2,,0.5,2
DRAGONELECTRIC,2,,0.5,0.5,0.25,0.5,2,,,2,0.5,,,,,2,,0.5,2
DRAGONGRASS,2,,,0.25,0.25,0.25,4,,2,0.5,2,,2,,,2,,,2
DRAGONICE,3,,,0.5,0.5,0.5,,2,,,,,,2,,2,,2,2
DRAGONFIGHTING,2,,0.5,0.5,0.5,0.5,2,,,,2,2,0.5,0.5,,2,0.5,,4
DRAGONPOISON,2,,0.5,0.5,0.5,0.25,2,0.5,0.5,2,,2,0.5,,,2,,,
DRAGONGROUND,9,,0.5,,0,,4,,0.5,,,,,0.5,,2,,,2
DRAGONFLYING,8,,0.5,0.5,,0.25,4,0.5,,0,,,0.5,2,,2,,,2
DRAGONPSYCHIC,5,,0.5,0.5,0.5,0.5,2,0.5,,,,0.5,2,,2,2,2,,2
DRAGONBUG,0,,,0.5,0.5,0.25,2,0.5,,0.5,2,,,2,,2,,,2
DRAGONROCK,2,0.5,0.25,,0.5,,2,2,0.5,2,0.5,,,,,2,,2,2
DRAGONGHOST,2,0,0.5,0.5,0.5,0.5,2,0,0.5,,,,0.5,,2,2,2,,2
DRAGONDARK,4,,0.5,0.5,0.5,0.5,2,2,,,,0,2,,0.5,2,0.5,,4
DRAGONSTEEL,1,0.5,,0.5,0.5,0.25,,2,0,2,0.5,0.5,0.5,0.5,,,,0.5,
DRAGONFAIRY,1,,0.5,0.5,0.5,0.5,2,0.5,2,,,,0.5,,,0,0.5,2,2
DARK,12,,,,,,,2,,,,0,2,,0.5,,0.5,,2
DARKNORMAL,2,,,,,,,4,,,,0,2,,0,,0.5,,2
DARKFIRE,4,,0.5,2,,0.5,0.5,2,,2,,0,,2,0.5,,0.5,0.5,
DARKWATER,7,,0.5,0.5,2,2,0.5,2,,,,0,2,,0.5,,0.5,0.5,2
DARKELECTRIC,0,,,,0.5,,,2,,2,0.5,0,2,,0.5,,0.5,0.5,2
DARKGRASS,3,,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,,0.5,,0.5,,2
DARKICE,2,,2,,,,0.5,4,,,,0,2,2,0.5,,0.5,2,2
DARKFIGHTING,3,,,,,,,2,,,2,0,,0.5,0.5,,0.25,,4
DARKPOISON,5,,,,,0.5,,,0.5,2,,0,,,0.5,,0.5,,
DARKGROUND,3,,,2,0,2,2,2,0.5,,,0,2,0.5,0.5,,0.5,,2
DARKFLYING,5,,,,2,0.5,2,,,0,,0,,2,0.5,,0.5,,2
DARKPSYCHIC,3,,,,,,,,,,,0,4,,,,,,2
DARKBUG,0,,2,,,0.5,,,,0.5,2,0,2,2,0.5,,0.5,,2
DARKROCK,2,0.5,0.5,2,,2,,4,0.5,2,0.5,0,2,,0.5,,0.5,2,2
DARKGHOST,3,0,,,,,,0,0.5,,,0,,,,,,,2
DARKDRAGON,4,,0.5,0.5,0.5,0.5,2,2,,,,0,2,,0.5,2,0.5,,4
DARKSTEEL,2,0.5,2,,,0.5,0.5,4,0,2,0.5,0,,0.5,0.5,0.5,0.5,0.5,
DARKFAIRY,0,,,,,,,,2,,,0,,,0.5,0,0.25,2,2
STEEL,6,0.5,2,,,0.5,0.5,2,0,2,0.5,0.5,0.5,0.5,,0.5,,0.5,0.5
STEELNORMAL,0,0.5,2,,,0.5,0.5,4,0,2,0.5,0.5,0.5,0.5,0,0.5,,0.5,0.5
